latitude,longitude,geometry,Town,pathimage,ImageURL,Description1,Description2
43.349905,-1.785382,Point,Irún,./images/popups/irun.jpg,https://drive.google.com/file/d/1EJBFK2iRtRYGSNqM0xTbS17RVlO84j7_/view?usp=sharing,The industrial and commercial character of Irún make it the most significant city on the banks of the Bidasoa river.,"A mere three kilometres separate Irún from Hondarribia. Both of them face the French city of Hendaia, with the Bidasoa river as their boundary. Irún has the appearance of a new city, although it is possible to find in it important vestiges from the past. One of them is the church of Santa María del Juncal, from the 16th century, with a Baroque façade, and a Romanesque image of the saint."
43.315201,-1.98912,Point,San Sebastián,./images/popups/donostia.jpg,https://drive.google.com/file/d/1WgOBmie-to1YIr2ZT36TstHjWu8xtiUE/view?usp=sharing,"Fishermen's houses, a smart suburb and modern districts make it one of the most attractive cities on the Cantabrian coast. The Museum of San Telmo, the Peine del Viento (the Wind Comb) and the Kursaal are examples of how the city brings together modern and traditional features.","Meanwhile, the province of Gipuzkoa, of which San Sebastián is the capital, blends sea and mountains, offering the traveller landscape, sports and cuisine, as well as interesting monuments. Basque cuisine has a recognised international prestige."
43.287379,-2.170888,Point,Zarautz,./images/popups/zarautz.jpg,https://drive.google.com/file/d/14QdbGrvBzds-C_An37h7LGt3WnUapSqm/view?usp=sharing,This town in the province of Gipuzkoa combines its excellent beach with an interesting historic quarter. The local cuisine is one of the most exquisite and famous in the whole Basque Country.,"This ancient settlement of whale hunters became an important tourist village in the 19th century. Its elegant beach, the longest in the province, has a quiet promenade on the shore of the Cantabrian Sea, decorated with numerous vanguard sculptures. Zarautz's waves make it a paradise for surf lovers. "
43.295582,-2.353917,Point,Deba,./images/popups/deba.jpg,https://drive.google.com/file/d/1ltJc2Zxe-3Q2o8Um0oPU9-7ldPfl322J/view?usp=sharing,"Deba is located in the most western part of Gipuzkoa's coast. It belongs to Debabarrena region, very close to Bizkaia's border. Surrounded by small heights, it welcomes annually many tourists attracted by the beauty of its landscape and the warm attitude of its inhabitants.","We will discover one of the most spectacular stretches of the Basque coast due to the sea erosion. Next to steep cliffs we will notice a plain surface, very peculiar from a geological point of view, that reveals itself when low tide and shelters many migratory birds."
43.267016,-2.498168,Point,Markina,./images/popups/markina.jpg,https://drive.google.com/file/d/16Rek5vhQBqYM6WZ1UibrzhyRfr_rBWMM/view?usp=sharing,"The town, founded about the middle of the 14th century, consists of two villages: Markina and Xemein. The village's centre still maintains its medieval layout and offers a vast heritage display. Cradle of great pelotaris, Markina-Xemein keeps a tight connection with Basque pelota sport; in fact its two walled court or frontón is known as ""University of the Pelota"", since it is the place where great Basket or Jai Alai pelotaris learnt to play. ",
43.313505,-2.679381,Point,Gernika,./images/popups/gernika.jpg,https://drive.google.com/file/d/1LaRuZ1lF6jn1ZyPe-PJdIGcoKv0RZzjJ/view?usp=sharing,"The town sits in the valley of the river Oka, which flows into the Gernika estuary. Very close by is the Urdaibai Nature Reserve, which UNESCO has declared to be a Biosphere Reserve.","The cave of Santimamiñe (Kortezubi) shows that the valley has been inhabited since prehistoric times. Inside are cave paintings comparable in terms of quality and richness to those of Altamira. From that period on, Gernika was inhabited by successive civilizations until its foundation as a town in 1366."
43.274249,-2.834245,Point,Lezama,./images/popups/lezama.jpg,https://drive.google.com/file/d/1FQWiPzK0Dnsu4ctp-FifH71Gz3gk4ePb/view?usp=sharing,"Lezama, in the Txorierri valley, is a low-lying area bordered by two mountainous areas.","There are many ancestral houses and lordly towers that bear witness to its medieval origins; among the oldest ones we'd like to mention Basabil y Arechavaleta house and Oxangoiti ancestral house. Entering the village we'll visit the elegant church of Santa María, which dates back to the 13th century, with a beautiful facade and five altarpieces."
43.258477,-2.921822,Point,Bilbao,./images/popups/bilbao.jpg,https://drive.google.com/file/d/1sRLO4IdUdA4Z9fRaGHWk334sv3Fa2tou/view?usp=sharing,"The city of the Guggenheim‚is an alternative name for this Basque Country destination as, since this original museum was built in 1997, Bilbao has been transformed forever. In fact, now it stands out for its ground-breaking structures created by prestigious architects, and which make it an international benchmark for modern design.","Although, curiously, its unique character comes from combining avant-garde with the traditional feel of its old town, full of charming streets and bars offering pintxos, proof that they are passionate about gastronomy around here. All this has earned Bilbao a place of honour on the lists of Spain's most interesting cities."
43.320043,-3.016991,Point,Portugalete,./images/popups/portugalete.jpg,https://drive.google.com/file/d/1xr01gbagIpZGJTkZmozdyQrRrmsrbHat/view?usp=sharing,"Together with the Vizcaya Bridge, the steep streets of Portugalete's old quarter is one of the most interesting places in the town.","This historic and artistic site maintains its mediaeval character, and is overlooked by the basilica of Santa María, with its mixture of Gothic and Renaissance styles. Beside it stands the Salazar Tower, built in 1379. Visitors can also see the convent of Santa Clara, with its outstanding Renaissance-Plateresque bell tower."
43.382479,-3.217781,Point,Castro Urdiales,./images/popups/castro-urdiales.jpg,https://drive.google.com/file/d/1n1lcbCKyRpQo9Wo4nlUl9s3KfO8_A8gn/view?usp=sharing,"Castro Urdiales has all the charm of a small seafaring and fishing village with a rich tradition and tourist atmosphere, aided by the beaches of Urdiales, El Fraile and Brazomar.","The town centre, with its characteristic houses with wooden rows of balconies, is medieval in origin and earned recognition as a Historic Site in 1978. Its main monuments, of different styles and periods, contrast with the seafaring sobriety of the old village, formed by narrow streets which are perfect for strolling through. "
